polity_id,year_from,year_to,longitude,latitude,elevation,sub_category,magnitude,duration
CnQingE,1654,1655,117.342699,27.652942,307.3,Pox,Uncertain,No description
CnQingE,1654,1654,114.379902,40.133757,863.8,Pestilence,Heavy,No description
CnQingE,1654,1655,112.83188200000001,37.642125,866.1,Pestilence,Heavy,No description
CnQingE,1654,1654,110.311502,26.321386999999998,655.1,Pestilence,Heavy,No description
CnQingE,1654,1654,112.66530900000001,24.505855,448.3,Pestilence,Heavy,No description
CnQingE,1654,1654,111.115743,22.428639999999998,395.5,Pestilence,Heavy,No description
CnQingE,1654,1654,111.809731,37.67671,1318.4,Pestilence,Uncertain,No description
CnQingE,1654,1654,111.94758200000001,37.45225,1222.3,Pestilence,Uncertain,No description
CnQingE,1654,1654,116.77862900000001,26.817175,361.6,Pestilence,Uncertain,No description
CnQingE,1655,1655,118.67533600000002,40.031695,54.3,Pestilence,Heavy,No description
CnQingE,1655,1656,107.423875,34.569691999999996,860.2,Pestilence,Heavy,No description
CnQingE,1656,1656,121.32328500000001,30.179804999999998,7.3,Pox,Uncertain,No description
CnQingE,1656,1656,114.06785900000001,35.492828,90.9,Pestilence,Heavy,No description
CnQingE,1656,1656,120.374468,27.635011,12.3,Pestilence,Uncertain,No description
CnQingE,1656,1656,110.311502,26.321386999999998,655.1,Pestilence,Uncertain,No description
CnQingE,1657,1657,116.347494,23.591034,18.2,Pox,Uncertain,No description
CnQingE,1657,1657,109.13764599999999,35.13948,973.6,Pestilence,Heavy,No description
CnQingE,1657,1657,113.83748600000001,26.377312,857.3,Pestilence,Heavy,No description
CnQingE,1657,1657,112.59436799999999,25.890083999999998,314.6,Pestilence,Heavy,No description
CnQingE,1657,1657,112.66530900000001,24.505855,448.3,Pestilence,Heavy,No description
CnQingE,1657,1657,120.21618899999999,27.324521999999998,16.3,Pestilence,Heavy- Multiple Times,No description
CnQingE,1657,1657,112.42083500000001,26.36119,103.2,Pestilence,Heavy- Multiple Times,No description
CnQingE,1657,1657,112.996799,25.783519000000002,271.8,Pestilence,Uncertain,No description
CnQingE,1658,1658,116.051158,27.71364,90.8,Peculiar Epidemics,Uncertain,No description
CnQingE,1658,1658,115.62836200000001,23.798351999999998,408.0,Peculiar Epidemics,Uncertain,No description
CnQingE,1658,1658,112.35875300000001,31.671546999999997,54.7,Pestilence,Heavy,No description
CnQingE,1658,1658,111.317824,23.486528,97.8,Pestilence,Heavy,No description
CnQingE,1658,1658,109.13644099999999,22.313843,47.9,Pestilence,Heavy,No description
CnQingE,1658,1658,116.051158,27.71364,90.8,Pestilence,Uncertain,No description
CnQingE,1659,1659,121.001502,28.256333,36.3,Pestilence,Heavy,No description
CnQingE,1659,1659,111.54080800000001,26.131911,139.4,Pestilence,Heavy,No description
CnQingE,1659,1659,120.670994,28.000701,10.8,Pestilence,Uncertain,No description
CnQingE,1660,1660,116.803207,37.678126,18.5,Pestilence,Uncertain,No description
CnQingE,1661,1661,112.03436699999999,32.681389,113.4,Pestilence,Uncertain,No description
CnQingE,1662,1662,121.24963600000001,37.467374,7.8,Pestilence,Heavy,No description
CnQingE,1662,1662,120.737675,36.903649,29.3,Pestilence,Heavy,No description
CnQingE,1662,1662,121.541049,37.276968,98.6,Pestilence,Heavy,No description
CnQingE,1662,1662,121.10073700000001,36.856658,213.1,Pestilence,Heavy,No description
CnQingE,1663,1663,121.49450800000001,31.339228000000002,6.1,Pestilence,Heavy,No description
CnQingE,1663,1663,121.63616100000002,31.230935,5.0,Pestilence,Heavy,No description
CnQingE,1663,1663,120.180205,30.784307000000002,2.1,Pestilence,Heavy,No description
CnQingE,1663,1663,120.737675,36.903649,29.3,Pestilence,Uncertain,No description
